,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,alpha
69,0.03592946529388428,0.00036628184231273035,0.006270408630371094,0.00032358336089875214,0.7785234899328859,0.032326428399442414,0.8833706189410886,0.0025875244702308134,bow,114,1,True,unigram,400,0.3
72,0.0360886812210083,0.0005483946941224465,0.006199884414672852,0.00023629710479630155,0.7785234899328859,0.027995508207535862,0.877703206562267,0.0037877479788815177,bow,114,1,True,unigram,400,0.6
617,0.10167384147644043,0.025307267423788735,0.010642361640930176,0.0024548180377697883,0.7785234899328858,0.0351308787336977,0.8950037285607756,0.004332837895998184,bow,120,1,False,unigram_bigram,1000,0.1
234,0.09691023826599121,0.022841840211180103,0.010757708549499511,0.0025251225845348453,0.7778523489932887,0.03266602288224955,0.9038031319910514,0.0035450751152884853,bow,121,1,True,unigram_bigram,1200,0.3
258,0.11285369396209717,0.022516977722022206,0.011449265480041503,0.0029240400912476996,0.7778523489932886,0.0306748855893327,0.9194630872483222,0.003974023145257051,bow,122,1,True,unigram_bigram,1600,0.5
466,0.03849351406097412,0.006826642413878486,0.006657528877258301,0.0010024692866248686,0.7778523489932886,0.033884310231850574,0.8794183445190157,0.005738108457333515,bow,122,1,False,unigram,400,0.4
518,0.05134725570678711,0.010680746334738086,0.008798813819885254,0.002002288183558361,0.7778523489932886,0.029780815748099057,0.9433258762117822,0.002868811940592307,bow,122,1,False,unigram,1600,0.1
619,0.12550778388977052,0.014447731504032037,0.011734819412231446,0.003113192115684307,0.7778523489932885,0.03414913888109676,0.8887397464578672,0.004606545924378982,bow,125,1,False,unigram_bigram,1000,0.3
644,0.10267536640167237,0.024758762682614063,0.01348116397857666,0.0025785233858464968,0.7771812080536914,0.032714248609272314,0.9046234153616703,0.0033590173391663497,bow,126,1,False,unigram_bigram,1400,0.6
235,0.09866156578063964,0.02352675715943956,0.010828948020935059,0.002569553801089208,0.7771812080536913,0.02968234145972615,0.9007457121551081,0.003258173344512087,bow,127,1,True,unigram_bigram,1200,0.4
469,0.03598544597625732,0.0002989159459932784,0.006219291687011718,0.0001429595733632994,0.7771812080536912,0.0345881845012755,0.8726323639075317,0.005228500564640752,bow,128,1,False,unigram,400,0.7
645,0.11974217891693115,0.016283426047620633,0.01105031967163086,0.0026985765727047086,0.7765100671140941,0.03396397564799999,0.9017897091722595,0.003946642392960262,bow,129,1,False,unigram_bigram,1400,0.7
467,0.03618810176849365,0.0011061870227229236,0.006117987632751465,0.0001573964649197706,0.776510067114094,0.03288590604026846,0.8770320656226696,0.005624568224648204,bow,130,1,False,unigram,400,0.5
620,0.11481947898864746,0.02235196879813313,0.01358325481414795,0.0025317454003748277,0.7765100671140939,0.034750586485905,0.8857568978374347,0.0041223788101670935,bow,131,1,False,unigram_bigram,1000,0.4
233,0.08864679336547851,0.013758004729075648,0.01006767749786377,0.0023589888966272276,0.7758389261744967,0.033179079447807444,0.908724832214765,0.0032367687418658826,bow,132,1,True,unigram_bigram,1200,0.2
